POLYGON_BURNED;BURNED_BEFOREB1;BURNED_BEFOREB2;BURNED_BEFOREB3;BURNED_BEFOREB4;BURNED_BEFOREB5;BURNED_BEFOREB6;BURNED_BEFOREB7;BURNED_AFTERB1;BURNED_AFTERB2;BURNED_AFTERB3;BURNED_AFTERB4;BURNED_AFTERB5;BURNED_AFTERB6;BURNED_AFTERB7;BURNEDratioB1;BURNEDratioB2;BURNEDratioB3;BURNEDratioB4;BURNEDratioB5;BURNEDratioB6;BURNEDratioB7;BURNEDNDVIbefore;BURNEDNDVIafter;BURNEDdiffNetNDVI;BURNEDNBRbeforeWithSWIR3;BURNEDNBRafterWithSWIR3;BURNEDDNBRwithSWIR3;BURNEDRdNBRwithSWIR3;POLYGON_UNBURNED;UNBURNED_BEFOREB1;UNBURNED_BEFOREB2;UNBURNED_BEFOREB3;UNBURNED_BEFOREB4;UNBURNED_BEFOREB5;UNBURNED_BEFOREB6;UNBURNED_BEFOREB7;UNBURNED_AFTERB1;UNBURNED_AFTERB2;UNBURNED_AFTERB3;UNBURNED_AFTERB4;UNBURNED_AFTERB5;UNBURNED_AFTERB6;UNBURNED_AFTERB7;UNBURNEDratioB1;UNBURNEDratioB2;UNBURNEDratioB3;UNBURNEDratioB4;UNBURNEDratioB5;UNBURNEDratioB6;UNBURNEDratioB7;UNBURNEDNDVIbefore;UNBURNEDNDVIafter;UNBURNEDdiffNetNDVI;UNBURNEDNBRbeforeWithSWIR3;UNBURNEDNBRafterWithSWIR3;UNBURNEDDNBRwithSWIR3;UNBURNEDRdNBRwithSWIR3
0;238;1649;117;280;1900;1080;422;500;1781;245;477;2361;1986;1310;0,476;0,925884335;0,47755102;0,587002096;0,804743753;0,543806647;0,322137405;0,747747748;0,561595791;0,186151956;0,592467407;0,152377871;0,440089536;0,571753472;0;268;1959;131;353;2119;1241;525;358;2485;171;487;2739;1713;726;0,748603352;0,78832998;0,766081871;0,724845996;0,773640015;0,724460012;0,723140496;0,759317467;0,748153359;0,011164108;0,577294686;0,547804422;0,029490264;0,038813238
1;480;2306;262;549;2795;1861;873;563;1706;282;471;2403;2077;1316;0,852575488;1,351699883;0,929078014;1,165605096;1,163129422;0,896003852;0,66337386;0,655419957;0,503746144;0,151673813;0,450770683;0,129053607;0,321717076;0,47917735;1;500;2479;274;584;2798;1769;808;501;2619;275;588;2868;1801;827;0,998003992;0,946544483;0,996363636;0,993197279;0,975592748;0,982232093;0,977025393;0,664316885;0,678846154;-0,014529269;0,508366291;0,520023215;-0,011656924;-0,016349165
2;376;1972;190;405;2411;1540;689;666;1679;330;551;2347;2316;1809;0,564564565;1,174508636;0,575757576;0,735027223;1,027268854;0,664939551;0,380873411;0,679727428;0,431982942;0,247744485;0,482149568;-0,037270642;0,51942021;0,748045393;2;296;1890;161;355;2161;1254;521;507;2341;245;539;2774;2008;1074;0,58382643;0,807347287;0,657142857;0,658627087;0,779019466;0,624501992;0,485102421;0,729185727;0,643960674;0,085225053;0,567814185;0,371010249;0,196803936;0,261174433
3;243;2030;129;323;2263;1261;469;366;1467;204;349;1860;1228;673;0,663934426;1,383776414;0,632352941;0,925501433;1,216666667;1,026872964;0,696879643;0,786185658;0,600654664;0,185530993;0,62464986;0,371028037;0,253621823;0,32089895;3;230;1616;130;291;1949;1158;462;320;2078;177;390;2407;1425;583;0,71875;0,777670837;0,734463277;0,746153846;0,809721645;0,812631579;0,79245283;0,750812568;0,733110926;0,017701642;0,555341675;0,561818865;-0,00647719;-0,008691736
4;368;1884;193;410;2236;1466;697;400;1072;213;347;1453;1364;1076;0,92;1,757462687;0,906103286;1,181556196;1,538885065;1,074780059;0,647769517;0,673179396;0,456521739;0,216657657;0,459899264;-0,001862197;0,461761461;0,680904692;4;315;1896;157;380;2056;1257;571;340;2072;162;419;2245;1404;648;0,926470588;0,915057915;0,969135802;0,906921241;0,915812918;0,895299145;0,88117284;0,715061058;0,718076285;-0,003015227;0,537089582;0,523529412;0,013560171;0,018502985
5;352;1994;163;396;2393;1539;704;358;1076;167;297;1505;1368;993;0,983240223;1,853159851;0,976047904;1,333333333;1,590033223;1,125;0,708962739;0,699914749;0,50069735;0,199217398;0,47813195;0,040115998;0,438015952;0,633455402;5;236;2094;111;336;2269;1241;482;219;1930;107;311;2098;1178;452;1,077625571;1,084974093;1,037383178;1,080385852;1,081506196;1,053480475;1,066371681;0,797424893;0,796184272;0,001240621;0,625776398;0,620486986;0,005289412;0,006686484
6;311;1983;154;372;2372;1376;571;537;1352;279;435;1915;1853;1448;0,579143389;1,466715976;0,551971326;0,855172414;1,238642298;0,742579601;0,394337017;0,72885789;0,431445209;0,297412681;0,552858262;-0,034285714;0,587143976;0,789655578;6;232;2307;119;351;2522;1329;470;329;2956;167;509;3004;1742;684;0,705167173;0,780446549;0,71257485;0,689587426;0,83954727;0,762916188;0,687134503;0,817250886;0,799695586;0,0175553;0,661505221;0,624175824;0,037329397;0,045897004
7;278;1896;144;343;2239;1229;477;479;1300;214;362;1794;1675;1272;0,580375783;1,458461538;0,672897196;0,947513812;1,248049052;0,733731343;0,375;0,74425023;0,461495222;0,282755008;0,597977244;0,01088647;0,587090774;0,759211761;7;261;2059;137;344;2312;1255;466;408;2463;210;507;2678;1743;783;0,639705882;0,835972391;0,652380952;0,678500986;0,863330844;0,720022949;0,595146871;0,775;0,715778474;0,059221526;0,630891089;0,517560074;0,113331015;0,142682787
8;286;1962;151;358;2261;1235;489;491;1589;236;417;2039;1711;1127;0,582484725;1,234738829;0,639830508;0,858513189;1,1088769;0,721800117;0,433895297;0,745551601;0,527884615;0,217666986;0,600979192;0,170103093;0,430876099;0,555805304;8;533;2225;275;514;2757;1930;922;586;2543;299;643;2927;2237;1161;0,909556314;0,874950845;0,919732441;0,799377916;0,941920055;0,862762629;0,79414298;0,613488035;0,625439438;-0,011951403;0,414045122;0,373110151;0,040934971;0,063616629
9;323;2116;172;396;2480;1410;553;570;1351;272;445;1966;2008;1632;0,566666667;1,566247224;0,632352941;0,88988764;1,261444557;0,702191235;0,338848039;0,735137351;0,406559084;0,328578268;0,585612589;-0,094200469;0,679813058;0,888350396;9;384;2210;207;472;2470;1546;659;364;2859;192;532;2938;1721;681;1,054945055;0,772997552;1,078125;0,887218045;0,840707965;0,898314933;0,967694567;0,703932151;0,774123487;-0,070191336;0,540606483;0,615254237;-0,074647754;-0,10152573
